,人口,GDP,,城市分級
上海,2423.78,4938,華東,0
北京,1863.4,4582,華北,0
深圳,1302.66,3660,中南,0
廣州,665.61,3454,中南,0
重慶,1150.52,3077,西南,1
天津,1296.81,2842,華北,1
蘇州,277.08,2810,華東,1
成都,721.62,2319,西南,1
武漢,604,2244,中南,1
杭州,386.12,2041,華東,1
南京,622.79,1937,華東,1
青島,406,1814,華東,1
長沙,374.43,1663,中南,1
寧波,197.97,1624,華東,2
鄭州,374.05,1533,中南,1
佛山,135.75,1498,中南,1
西安,576.56,1262,西北,1
東莞,231.58,1252,中南,1
福州,230.4,1187,華東,2
濟南,345.97,1187,華東,2
合肥,227.84,1182,華東,1
大連,338.59,1159,東北,2
長春,361.92,1082,東北,2
哈爾濱,421.4,952,東北,2
瀋陽,443.27,951,東北,1
石家莊,281.16,919,華北,2
南昌,249.7,797,華東,2
昆明,395.68,787,西南,2
廈門,206.57,724,華東,2
南寧,232.42,609,中南,2
貴陽,213.24,588,西南,2
太原,293.46,587,華北,2
烏魯木齊,216.98,462,西北,3
呼和浩特,155.82,439,華北,3
蘭州,193.01,413,西北,2
銀川,105.4,287,西北,3
海口,120.08,228,中南,3
西寧,125.69,194,西北,4
拉薩,#N/A,80,西南,5