行政區,地區,面積(平方公里),GDP(CNY 十億),人口(千人),211 大學,rain,TopMountains,5A 景區
重慶,西南,82374,1950,30325,2,"1,439",2797,8
雲南,西南,383186,1653,47562,1,"1,100",6740,8
西藏,西南,1202189,131,3273,1,400,8844,2
四川,西南,486116,3698,82330,5,"1,100",7556,12
貴州,西南,176099,1354,35425,1,"1,200",2900,5
新疆,西北,1631585,1092,23790,2,154,8611,12
陝西,西北,205624,2190,38027,8,600,3767,8
青海,西北,696647,264,5909,1,380,6860,3
寧夏,西北,51893,345,6714,1,200,3556,4
甘肅,西北,425889,768,26050,1,300,5798,4
湖南,華中,211836,3459,68025,4,"1,500",2099,8
湖北,華中,185937,3652,58685,7,"1,200",3105,11
河南,華中,165664,4499,95062,1,700,2414,13
海南,華南,35177,446,9140,1,"1,639",1867,6
廣西,華南,237606,2040,48170,1,"1,600",2141,5
廣東,華南,179656,8988,109240,4,"1,800",1902,12
浙江,華東,105506,5177,55645,1,"1,400",1929,16
上海,華東,8359,3013,24175,10,"1,124",99,3
山東,華東,157901,7268,98969,3,710,1545,11
江西,華東,166936,2082,45790,1,"1,600",2158,10
江蘇,華東,106600,8590,79875,11,"1,000",625,23
福建,華東,123951,3230,38565,2,"1,600",1856,9
安徽,華東,140140,2752,61696,3,"1,200",1860,11
天津,華北,11917,1860,15545,3,600,1052,2
山西,華北,156698,1497,36728,1,520,3058,7
內蒙,華北,1145499,1610,25156,1,220,2365,4
河北,華北,188545,3596,74475,1,600,2882,8
北京,華北,16406,2800,21717,26,500,2303,7
遼寧,東北,148379,2394,43801,4,800,1336,5
吉林,東北,191202,1529,27432,3,550,2691,6
黑龍江,東北,452538,1620,38056,4,500,2036,5