年份,學科,級分,人數,百分比,"累計
97,英文,13,14760,10.04,124231,84.46
97,英文,12,13573,9.23,109471,74.43
97,英文,11,11370,7.73,95898,65.20
97,英文,10,11433,7.77,84528,57.47
97,英文,9,10665,7.25,73095,49.70
97,英文,8,9332,6.34,62430,42.44
97,英文,7,9834,6.69,53098,36.10
97,英文,6,9842,6.69,43264,29.41
97,英文,5,10255,6.97,33422,22.72
97,英文,4,10822,7.36,23167,15.75
97,英文,3,10607,7.21,12345,8.39
97,英文,2,1683,1.14,1738,1.18
97,英文,1,48,0.03,55,0.04
97,英文,0,7,0.00,7,0.00
97,數學,15,2921,1.98,147457,100.00
97,數學,14,4022,2.73,144536,98.02
97,數學,13,3303,2.24,140514,95.29
97,數學,12,6322,4.29,137211,93.05
97,數學,11,5209,3.53,130889,88.76
97,數學,10,9526,6.46,125680,85.23
97,數學,9,11452,7.77,116154,78.77
97,數學,8,9043,6.13,104702,71.01
97,數學,7,15215,10.32,95659,64.87
97,數學,6,10893,7.39,80444,54.55
97,數學,5,16786,11.38,69551,47.17
97,數學,4,17257,11.70,52765,35.78
97,數學,3,12086,8.20,35508,24.08
97,數學,2,16570,11.24,23422,15.88
97,數學,1,5679,3.85,6852,4.65
97,數學,0,1173,0.80,1173,0.80
97,社會,15,2516,1.71,147415,100.00
97,社會,14,6137,4.16,144899,98.29
97,社會,13,9172,6.22,138762,94.13
97,社會,12,13489,9.15,129590,87.91
97,社會,11,23389,15.87,116101,78.76
97,社會,10,19458,13.20,92712,62.89
97,社會,9,25076,17.01,73254,49.69
97,社會,8,16463,11.17,48178,32.68
97,社會,7,17289,11.73,31715,21.51
97,社會,6,8825,5.99,14426,9.79
97,社會,5,4816,3.27,5601,3.80
97,社會,4,696,0.47,785,0.53
97,社會,3,82,0.06,89,0.06
97,社會,2,1,0.00,7,0.00
97,社會,1,0,0.00,6,0.00
97,社會,0,6,0.00,6,0.00
97,自然,15,3938,2.68,146974,100.00
97,自然,14,6390,4.35,143036,97.32
97,自然,13,9021,6.14,136646,92.97
97,自然,12,11584,7.88,127625,86.84
97,自然,11,14932,10.16,116041,78.95
97,自然,10,17880,12.17,101109,68.79
97,自然,9,19103,13.00,83229,56.63
97,自然,8,17985,12.24,64126,43.63
97,自然,7,15230,10.36,46141,31.39
97,自然,6,12289,8.36,30911,21.03
97,自然,5,10259,6.98,18622,12.67
97,自然,4,6305,4.29,8363,5.69
97,自然,3,1842,1.25,2058,1.40
97,自然,2,188,0.13,216,0.15
97,自然,1,16,0.01,28,0.02
97,自然,0,12,0.01,12,0.01
96,國文,15,3940,2.61,150797,100.00
96,國文,14,12147,8.06,146857,97.39
96,國文,13,24381,16.17,134710,89.33
96,國文,12,30193,20.02,110329,73.16
96,國文,11,24347,16.15,80136,53.14
96,國文,10,19263,12.77,55789,37.00
96,國文,9,12416,8.23,36526,24.22
96,國文,8,7639,5.07,24110,15.99
96,國文,7,5931,3.93,16471,10.92
96,國文,6,4309,2.86,10540,6.99
96,國文,5,2876,1.91,6231,4.13
96,國文,4,1784,1.18,3355,2.22
96,國文,3,1083,0.72,1571,1.04
96,國文,2,447,0.30,488,0.32
96,國文,1,39,0.03,41,0.03
96,國文,0,2,0.00,2,0.00
96,英文,15,4928,3.28,150360,100.00
96,英文,14,8956,5.96,145432,96.72
96,英文,13,10212,6.79,136476,90.77
96,英文,12,11814,7.86,126264,83.97
96,英文,11,11008,7.32,114450,76.12
96,英文,10,12320,8.19,103442,68.80
96,英文,9,11752,7.82,91122,60.60
96,英文,8,12972,8.63,79370,52.79
96,英文,7,12507,8.32,66398,44.16
96,英文,6,14039,9.34,53891,35.84
96,英文,5,12857,8.55,39852,26.50
96,英文,4,14570,9.69,26995,17.95
96,英文,3,10336,6.87,12425,8.26
96,英文,2,2036,1.35,2089,1.39
96,英文,1,48,0.03,53,0.04
96,英文,0,5,0.00,5,0.00
96,數學,15,1865,1.24,150681,100.00
96,數學,14,2919,1.94,148816,98.76
96,數學,13,2717,1.80,145897,96.83
96,數學,12,5581,3.70,143180,95.02
96,數學,11,4870,3.23,137599,91.32
96,數學,10,9751,6.47,132729,88.09
96,數學,9,8464,5.62,122978,81.61
96,數學,8,16094,10.68,114514,76.00
96,數學,7,12910,8.57,98420,65.32
96,數學,6,21771,14.45,85510,56.75
96,數學,5,14960,9.93,63739,42.30
96,數學,4,20645,13.70,48779,32.37
96,數學,3,11532,7.65,28134,18.67
96,數學,2,12351,8.20,16602,11.02
96,數學,1,3558,2.36,4251,2.82
96,數學,0,693,0.46,693,0.46
96,社會,15,3090,2.05,150670,100.00
96,社會,14,8710,5.78,147580,97.95
96,社會,13,16607,11.02,138870,92.17
96,社會,12,17238,11.44,122263,81.15
96,社會,11,26483,17.58,105025,69.71
96,社會,10,25551,16.96,78542,52.13
96,社會,9,16053,10.65,52991,35.17
96,社會,8,16161,10.73,36938,24.52
96,社會,7,11742,7.79,20777,13.79
96,社會,6,5554,3.69,9035,6.00
96,社會,5,2987,1.98,3481,2.31
96,社會,4,449,0.30,494,0.33
96,社會,3,31,0.02,45,0.03
96,社會,2,8,0.01,14,0.01
96,社會,1,1,0.00,6,0.00
96,社會,0,5,0.00,5,0.00
96,自然,15,4187,2.79,150302,100.00
96,自然,14,6046,4.02,146115,97.21
96,自然,13,8653,5.76,140069,93.19
96,自然,12,11612,7.73,131416,87.43
96,自然,11,14253,9.48,119804,79.71
96,自然,10,16852,11.21,105551,70.23
96,自然,9,18557,12.35,88699,59.01
96,自然,8,18698,12.44,70142,46.67
96,自然,7,17198,11.44,51444,34.23
96,自然,6,14454,9.62,34246,22.78
96,自然,5,11749,7.82,19792,13.17
96,自然,4,6468,4.30,8043,5.35
96,自然,3,1461,0.97,1575,1.05
96,自然,2,100,0.07,114,0.08
96,自然,1,6,0.00,14,0.01
96,自然,0,8,0.01,8,0.01
95,國文,15,3207,2.03,158226,100.00
95,國文,14,7020,4.44,155019,97.97
95,國文,13,13899,8.78,147999,93.54
95,國文,12,22783,14.40,134100,84.75
95,國文,11,24612,15.55,111317,70.35
95,國文,10,23532,14.87,86705,54.80
95,國文,9,19575,12.37,63173,39.93
95,國文,8,15899,10.05,43598,27.55
95,國文,7,10317,6.52,27699,17.51
95,國文,6,7283,4.60,17382,10.99
95,國文,5,4919,3.11,10099,6.38
95,國文,4,3258,2.06,5180,3.27
95,國文,3,1311,0.83,1922,1.21
95,國文,2,529,0.33,611,0.39
95,國文,1,80,0.05,82,0.05
95,國文,0,2,0.00,2,0.00
95,英文,15,5417,3.43,157745,100.00
95,英文,14,9353,5.93,152328,96.57
95,英文,13,10146,6.43,142975,90.64
95,英文,12,12020,7.62,132829,84.20
95,英文,11,11601,7.35,120809,76.58
95,英文,10,12893,8.17,109208,69.23
95,英文,9,12280,7.78,96315,61.06
95,英文,8,13753,8.72,84035,53.27
95,英文,7,13711,8.69,70282,44.55
95,英文,6,15057,9.55,56571,35.86
95,英文,5,13332,8.45,41514,26.32
95,英文,4,14737,9.34,28182,17.87
95,英文,3,11152,7.07,13445,8.52
95,英文,2,2225,1.41,2293,1.45
95,英文,1,61,0.04,68,0.04
95,英文,0,7,0.00,7,0.00
95,數學,15,5313,3.36,158009,100.00
95,數學,14,6926,4.38,152696,96.64
95,數學,13,4921,3.11,145770,92.25
95,數學,12,8143,5.15,140849,89.14
95,數學,11,9409,5.95,132706,83.99
95,數學,10,7212,4.56,123297,78.03
95,數學,9,12164,7.70,116085,73.47
95,數學,8,13690,8.66,103921,65.77
95,數學,7,10094,6.39,90231,57.10
95,數學,6,16485,10.43,80137,50.72
95,數學,5,17194,10.88,63652,40.28
95,數學,4,11521,7.29,46458,29.40
95,數學,3,16946,10.72,34937,22.11
95,數學,2,12080,7.65,17991,11.39
95,數學,1,4500,2.85,5911,3.74
95,數學,0,1411,0.89,1411,0.89
95,社會,15,3173,2.01,158060,100.00
95,社會,14,6345,4.01,154887,97.99
95,社會,13,12151,7.69,148542,93.98
95,社會,12,18534,11.73,136391,86.29
95,社會,11,24017,15.19,117857,74.56
95,社會,10,25258,15.98,93840,59.37
95,社會,9,17728,11.22,68582,43.39
95,社會,8,20428,12.92,50854,32.17
95,社會,7,15562,9.85,30426,19.25
95,社會,6,9995,6.32,14864,9.40
95,社會,5,4048,2.56,4869,3.08
95,社會,4,753,0.48,821,0.52
95,社會,3,59,0.04,68,0.04
95,社會,2,3,0.00,9,0.01
95,社會,1,1,0.00,6,0.00
95,社會,0,5,0.00,5,0.00
95,自然,15,3439,2.18,157561,100.00
95,自然,14,5267,3.34,154122,97.82
95,自然,13,7084,4.50,148855,94.47
95,自然,12,9171,5.82,141771,89.98
95,自然,11,11635,7.38,132600,84.16
95,自然,10,15489,9.83,120965,76.77
95,自然,9,20367,12.93,105476,66.94
95,自然,8,23852,15.14,85109,54.02
95,自然,7,23053,14.63,61257,38.88
95,自然,6,18858,11.97,38204,24.25
95,自然,5,12515,7.94,19346,12.28
95,自然,4,5519,3.50,6831,4.34
95,自然,3,1201,0.76,1312,0.83
95,自然,2,88,0.06,111,0.07
95,自然,1,12,0.01,23,0.01
95,自然,0,11,0.01,11,0.01
94,國文,15,3141,2.00,157405,100.00
94,國文,14,6776,4.30,154264,98.00
94,國文,13,13664,8.68,147488,93.70
94,國文,12,20570,13.07,133824,85.02
94,國文,11,24810,15.76,113254,71.95
94,國文,10,24424,15.52,88444,56.19
94,國文,9,21063,13.38,64020,40.67
94,國文,8,15920,10.11,42957,27.29
94,國文,7,11082,7.04,27037,17.18
94,國文,6,7365,4.68,15955,10.14
94,國文,5,4584,2.91,8590,5.46
94,國文,4,2413,1.53,4006,2.55
94,國文,3,1130,0.72,1593,1.01
94,國文,2,404,0.26,463,0.29
94,國文,1,55,0.03,59,0.04
94,國文,0,4,0.00,4,0.00
94,英文,15,4580,2.92,156887,100.00
94,英文,14,7253,4.62,152307,97.08
94,英文,13,9003,5.74,145054,92.46
94,英文,12,10696,6.82,136051,86.72
94,英文,11,10792,6.88,125355,79.90
94,英文,10,11670,7.44,114563,73.02
94,英文,9,12445,7.93,102893,65.58
94,英文,8,14217,9.06,90448,57.65
94,英文,7,14242,9.08,76231,48.59
94,英文,6,14481,9.23,61989,39.51
94,英文,5,15264,9.73,47508,30.28
94,英文,4,17518,11.17,32244,20.55
94,英文,3,12369,7.88,14726,9.39
94,英文,2,2288,1.46,2357,1.50
94,英文,1,65,0.04,69,0.04
94,英文,0,4,0.00,4,0.00
94,數學,15,3161,2.01,157138,100.00
94,數學,14,2359,1.50,153977,97.99
94,數學,13,4526,2.88,151618,96.49
94,數學,12,4176,2.66,147092,93.61
94,數學,11,8116,5.16,142916,90.95
94,數學,10,6607,4.20,134800,85.78
94,數學,9,11996,7.63,128193,81.58
94,數學,8,15343,9.76,116197,73.95
94,數學,7,12150,7.73,100854,64.18
94,數學,6,20578,13.10,88704,56.45
94,數學,5,14476,9.21,68126,43.35
94,數學,4,21183,13.48,53650,34.14
94,數學,3,12782,8.13,32467,20.66
94,數學,2,14613,9.30,19685,12.53
94,數學,1,4304,2.74,5072,3.23
94,數學,0,768,0.49,768,0.49
94,社會,15,5161,3.28,157173,100.00
94,社會,14,8020,5.10,152012,96.72
94,社會,13,18823,11.98,143992,91.61
94,社會,12,26313,16.74,125169,79.64
94,社會,11,27219,17.32,98856,62.90
94,社會,10,23299,14.82,71637,45.58
94,社會,9,17926,11.41,48338,30.75
94,社會,8,13467,8.57,30412,19.35
94,社會,7,9599,6.11,16945,10.78
94,社會,6,5226,3.32,7346,4.67
94,社會,5,1788,1.14,2120,1.35
94,社會,4,303,0.19,332,0.21
94,社會,3,23,0.01,29,0.02
94,社會,2,2,0.00,6,0.00
94,社會,1,2,0.00,4,0.00
94,社會,0,2,0.00,2,0.00
94,自然,15,4940,3.15,156687,100.00
94,自然,14,8241,5.26,151747,96.85
94,自然,13,11695,7.46,143506,91.59
94,自然,12,14408,9.20,131811,84.12
94,自然,11,17543,11.20,117403,74.93
94,自然,10,20411,13.03,99860,63.73
94,自然,9,21324,13.61,79449,50.71
94,自然,8,19580,12.50,58125,37.10
94,自然,7,16064,10.25,38545,24.60
94,自然,6,12236,7.81,22481,14.35
94,自然,5,7598,4.85,10245,6.54
94,自然,4,2334,1.49,2647,1.69
94,自然,3,298,0.19,313,0.20
94,自然,2,8,0.01,15,0.01
94,自然,1,7,0.00,7,0.00
94,自然,0,0,0.00,0,0.00
93,國文,15,3141,2.00,157405,100.00
93,國文,14,6776,4.30,154264,98.00
93,國文,13,13664,8.68,147488,93.70
93,國文,12,20570,13.07,133824,85.02
93,國文,11,24810,15.76,113254,71.95
93,國文,10,24424,15.52,88444,56.19
93,國文,9,21063,13.38,64020,40.67
93,國文,8,15920,10.11,42957,27.29
93,國文,7,11082,7.04,27037,17.18
93,國文,6,7365,4.68,15955,10.14
93,國文,5,4584,2.91,8590,5.46
93,國文,4,2413,1.53,4006,2.55
93,國文,3,1130,0.72,1593,1.01
93,國文,2,404,0.26,463,0.29
93,國文,1,55,0.03,59,0.04
93,國文,0,4,0.00,4,0.00
93,英文,15,4580,2.92,156887,100.00
93,英文,14,7253,4.62,152307,97.08
93,英文,13,9003,5.74,145054,92.46
93,英文,12,10696,6.82,136051,86.72
93,英文,11,10792,6.88,125355,79.90
93,英文,10,11670,7.44,114563,73.02
93,英文,9,12445,7.93,102893,65.58
93,英文,8,14217,9.06,90448,57.65
93,英文,7,14242,9.08,76231,48.59
93,英文,6,14481,9.23,61989,39.51
93,英文,5,15264,9.73,47508,30.28
93,英文,4,17518,11.17,32244,20.55
93,英文,3,12369,7.88,14726,9.39
93,英文,2,2288,1.46,2357,1.50
93,英文,1,65,0.04,69,0.04
93,英文,0,4,0.00,4,0.00
93,數學,15,3161,2.01,157138,100.00
93,數學,14,2359,1.50,153977,97.99
93,數學,13,4526,2.88,151618,96.49
93,數學,12,4176,2.66,147092,93.61
93,數學,11,8116,5.16,142916,90.95
93,數學,10,6607,4.20,134800,85.78
93,數學,9,11996,7.63,128193,81.58
93,數學,8,15343,9.76,116197,73.95
93,數學,7,12150,7.73,100854,64.18
93,數學,6,20578,13.10,88704,56.45
93,數學,5,14476,9.21,68126,43.35
93,數學,4,21183,13.48,53650,34.14
93,數學,3,12782,8.13,32467,20.66
93,數學,2,14613,9.30,19685,12.53
93,數學,1,4304,2.74,5072,3.23
93,數學,0,768,0.49,768,0.49
93,社會,15,5161,3.28,157173,100.00
93,社會,14,8020,5.10,152012,96.72
93,社會,13,18823,11.98,143992,91.61
93,社會,12,26313,16.74,125169,79.64
93,社會,11,27219,17.32,98856,62.90
93,社會,10,23299,14.82,71637,45.58
93,社會,9,17926,11.41,48338,30.75
93,社會,8,13467,8.57,30412,19.35
93,社會,7,9599,6.11,16945,10.78
93,社會,6,5226,3.32,7346,4.67
93,社會,5,1788,1.14,2120,1.35
93,社會,4,303,0.19,332,0.21
93,社會,3,23,0.01,29,0.02
93,社會,2,2,0.00,6,0.00
93,社會,1,2,0.00,4,0.00
93,社會,0,2,0.00,2,0.00
93,自然,15,4940,3.15,156687,100.00
93,自然,14,8241,5.26,151747,96.85
93,自然,13,11695,7.46,143506,91.59
93,自然,12,14408,9.20,131811,84.12
93,自然,11,17543,11.20,117403,74.93
93,自然,10,20411,13.03,99860,63.73
93,自然,9,21324,13.61,79449,50.71
93,自然,8,19580,12.50,58125,37.10
93,自然,7,16064,10.25,38545,24.60
93,自然,6,12236,7.81,22481,14.35
93,自然,5,7598,4.85,10245,6.54
93,自然,4,2334,1.49,2647,1.69
93,自然,3,298,0.19,313,0.20
93,自然,2,8,0.01,15,0.01
93,自然,1,7,0.00,7,0.00
93,自然,0,0,0.00,0,0.00
92,國文,15,2,161963.00,100,3818.00
92,國文,14,5,158503.00,98,6180.00
92,國文,13,10,150851.00,93,8987.00
92,國文,12,15,134223.00,83,10641.00
92,國文,11,15,109782.00,68,11938.00
92,國文,10,16,84400.00,52,12639.00
92,國文,9,12,57831.00,36,14305.00
92,國文,8,9,38127.00,24,13748.00
92,國文,7,6,22625.00,14,14209.00
92,國文,6,4,12519.00,8,15137.00
92,國文,5,2,6675.00,4,15362.00
92,國文,4,1,2877.00,2,16343.00
92,國文,3,0,1007.00,1,14396.00
92,國文,2,0,228.00,0,3756.00
92,國文,1,0,30.00,0,131.00
92,國文,0,0,11.00,0,9.00
92,英文,15,3818,2.32,161599,100.00
92,英文,14,6180,3.76,157781,97.64
92,英文,13,8987,5.46,151601,93.81
92,英文,12,10641,6.47,142614,88.25
92,英文,11,11938,7.26,131973,81.67
92,英文,10,12639,7.68,120035,74.28
92,英文,9,14305,8.69,107396,66.46
92,英文,8,13748,8.36,93091,57.61
92,英文,7,14209,8.64,79343,49.10
92,英文,6,15137,9.20,65134,40.31
92,英文,5,15362,9.34,49997,30.94
92,英文,4,16343,9.93,34635,21.43
92,英文,3,14396,8.75,18292,11.32
92,英文,2,3756,2.28,3896,2.41
92,英文,1,131,0.08,140,0.09
92,英文,0,9,0.01,9,0.01
92,數學,15,2194,1.33,161768,100.00
92,數學,14,2829,1.72,159574,98.64
92,數學,13,2457,1.49,156745,96.89
92,數學,12,4725,2.87,154288,95.38
92,數學,11,6551,3.98,149563,92.46
92,數學,10,5743,3.49,143012,88.41
92,數學,9,10428,6.34,137269,84.86
92,數學,8,8504,5.17,126841,78.41
92,數學,7,15178,9.23,118337,73.15
92,數學,6,17915,10.89,103159,63.77
92,數學,5,13711,8.33,85244,52.70
92,數學,4,23286,14.15,71533,44.22
92,數學,3,16812,10.22,48247,29.82
92,數學,2,21935,13.33,31435,19.43
92,數學,1,7598,4.62,9500,5.87
92,數學,0,1902,1.16,1902,1.18
92,社會,15,7087,4.31,161703,100.00
92,社會,14,20325,12.35,154616,95.62
92,社會,13,29864,18.15,134291,83.05
92,社會,12,30634,18.62,104427,64.58
92,社會,11,25907,15.75,73793,45.63
92,社會,10,19265,11.71,47886,29.61
92,社會,9,12997,7.90,28621,17.70
92,社會,8,8505,5.17,15624,9.66
92,社會,7,4588,2.79,7119,4.40
92,社會,6,1865,1.13,2531,1.57
92,社會,5,546,0.33,666,0.41
92,社會,4,88,0.05,120,0.07
92,社會,3,13,0.01,32,0.02
92,社會,2,4,0.00,19,0.01
92,社會,1,2,0.00,15,0.01
92,社會,0,13,0.01,13,0.01
92,自然,15,3708,2.25,161143,100.00
92,自然,14,4882,2.97,157435,97.70
92,自然,13,10714,6.51,152553,94.67
92,自然,12,16500,10.03,141839,88.02
92,自然,11,22134,13.45,125339,77.78
92,自然,10,24467,14.87,103205,64.05
92,自然,9,25913,15.75,78738,48.86
92,自然,8,21945,13.34,52825,32.78
92,自然,7,13362,8.12,30880,19.16
92,自然,6,11488,6.98,17518,10.87
92,自然,5,4949,3.01,6030,3.74
92,自然,4,975,0.59,1081,0.67
92,自然,3,86,0.05,106,0.07
92,自然,2,4,0.00,20,0.01
92,自然,1,8,0.00,16,0.01
92,自然,0,8,0.00,8,0.00
91,國文,15,3206,2.19,143468,100.00
91,國文,14,8213,5.60,140262,97.77
91,國文,13,16447,11.22,132049,92.04
91,國文,12,26069,17.78,115602,80.58
91,國文,11,25195,17.18,89533,62.41
91,國文,10,21151,14.42,64338,44.84
91,國文,9,14929,10.18,43187,30.10
91,國文,8,10657,7.27,28258,19.70
91,國文,7,6222,4.24,17601,12.27
91,國文,6,4365,2.98,11379,7.93
91,國文,5,3029,2.07,7014,4.89
91,國文,4,2304,1.57,3985,2.78
91,國文,3,1114,0.76,1681,1.17
91,國文,2,491,0.33,567,0.40
91,國文,1,70,0.05,76,0.05
91,國文,0,6,0.00,6,0.00
91,英文,15,4566,3.11,142983,100.00
91,英文,14,10239,6.98,138417,96.81
91,英文,13,12232,8.34,128178,89.65
91,英文,12,13119,8.95,115946,81.09
91,英文,11,13495,9.20,102827,71.92
91,英文,10,13158,8.97,89332,62.48
91,英文,9,12903,8.80,76174,53.27
91,英文,8,12212,8.33,63271,44.25
91,英文,7,12328,8.41,51059,35.71
91,英文,6,10454,7.13,38731,27.09
91,英文,5,9232,6.30,28277,19.78
91,英文,4,9267,6.32,19045,13.32
91,英文,3,7766,5.30,9778,6.84
91,英文,2,1936,1.32,2012,1.41
91,英文,1,69,0.05,76,0.05
91,英文,0,7,0.00,7,0.00
91,數學,15,2640,1.80,143174,100.00
91,數學,14,4386,2.99,140534,98.16
91,數學,13,4049,2.76,136148,95.09
91,數學,12,7843,5.35,132099,92.26
91,數學,11,6585,4.49,124256,86.79
91,數學,10,11452,7.81,117671,82.19
91,數學,9,13575,9.26,106219,74.19
91,數學,8,9957,6.79,92644,64.71
91,數學,7,16619,11.33,82687,57.75
91,數學,6,11322,7.72,66068,46.15
91,數學,5,16780,11.44,54746,38.24
91,數學,4,15895,10.84,37966,26.52
91,數學,3,9119,6.22,22071,15.42
91,數學,2,9049,6.17,12952,9.05
91,數學,1,3006,2.05,3903,2.73
91,數學,0,897,0.61,897,0.63
91,社會,15,12460,8.50,143149,100.00
91,社會,14,27012,18.42,130689,91.30
91,社會,13,30025,20.48,103677,72.43
91,社會,12,27324,18.63,73652,51.45
91,社會,11,14865,10.14,46328,32.36
91,社會,10,11189,7.63,31463,21.98
91,社會,9,7984,5.44,20274,14.16
91,社會,8,6679,4.55,12290,8.59
91,社會,7,3212,2.19,5611,3.92
91,社會,6,1629,1.11,2399,1.68
91,社會,5,587,0.40,770,0.54
91,社會,4,157,0.11,183,0.13
91,社會,3,11,0.01,26,0.02
91,社會,2,2,0.00,15,0.01
91,社會,1,4,0.00,13,0.01
91,社會,0,9,0.01,9,0.01
91,自然,15,3366,2.30,142246,100.00
91,自然,14,5972,4.07,138880,97.63
91,自然,13,9016,6.15,132908,93.44
91,自然,12,11711,7.99,123892,87.10
91,自然,11,14983,10.22,112181,78.86
91,自然,10,18322,12.49,97198,68.33
91,自然,9,19808,13.51,78876,55.45
91,自然,8,20736,14.14,59068,41.53
91,自然,7,17306,11.80,38332,26.95
91,自然,6,12088,8.24,21026,14.78
91,自然,5,6601,4.50,8938,6.28
91,自然,4,2028,1.38,2337,1.64
91,自然,3,277,0.19,309,0.22
91,自然,2,17,0.01,32,0.02
91,自然,1,8,0.01,15,0.01
91,自然,0,7,0.00,7,0.00