年份,科目,頂,前,均,後,底
110,國文,13,12,11,9,8
110,英文,13,12,8,5,4
110,數學,11,9,6,4,3
110,社會,13,12,10,8,7
110,自然,13,12,8,6,5
109,國文,13,13,11,9,8
109,英文,14,12,9,6,4
109,數學,14,13,9,5,4
109,社會,13,12,10,8,7
109,自然,13,11,8,6,5
108,國文,13,13,11,9,8
108,英文,14,13,10,5,4
108,數學,14,12,9,5,4
108,社會,13,12,10,9,7
108,自然,13,11,8,6,5
107,國文,13,12,11,9,8
107,英文,14,13,10,6,4
107,數學,12,10,6,4,3
107,社會,13,12,10,8,7
107,自然,12,10,8,6,5
106,國文,13,12,11,9,7
106,英文,13,11,8,5,4
106,數學,11,9,6,3,2
106,社會,14,13,11,9,7
106,自然,13,12,9,6,5
105,國文,13,12,10,9,7
105,英文,14,12,9,6,4
105,數學,12,10,7,4,3
105,社會,13,12,10,8,7
105,自然,13,11,9,6,5
104,國文,13,13,11,10,8
104,英文,14,12,9,6,4
104,數學,12,10,7,4,3
104,社會,14,13,11,9,7
104,自然,13,11,9,6,5
103,國文,13,12,11,9,7
103,英文,14,12,10,6,4
103,數學,13,11,8,5,3
103,社會,14,13,11,9,8
103,自然,13,11,9,6,5
102,國文,13,12,11,9,7
102,英文,14,13,10,6,4
102,數學,12,10,7,4,3
102,社會,14,13,11,9,7
102,自然,13,11,9,6,5
101,國文,14,13,11,9,7
101,英文,14,12,10,6,4
101,數學,13,11,7,4,3
101,社會,14,13,11,9,8
101,自然,14,12,9,6,5
100,國文,13,12,11,9,8
100,英文,14,13,10,6,4
100,數學,13,11,7,4,3
100,社會,13,12,10,8,7
100,自然,13,12,9,7,6
99,國文,13,12,11,9,7
99,英文,13,11,8,5,4
99,數學,10,8,5,3,2
99,社會,14,13,11,9,8
99,自然,13,11,9,7,6
98,國文,14,13,11,10,8
98,英文,13,11,8,5,4
98,數學,11,9,6,4,3
98,社會,14,13,11,9,8
98,自然,12,11,9,7,6
97,國文,13,12,11,9,8
97,英文,14,13,10,6,4
97,數學,11,9,6,4,2
97,社會,13,11,10,8,7
97,自然,13,11,9,7,5
96,國文,13,13,11,10,8
96,英文,13,11,8,5,4
96,數學,10,8,6,4,3
96,社會,13,12,10,9,7
96,自然,13,11,9,7,5
95,國文,13,12,10,8,7
95,英文,13,11,8,5,4
95,數學,12,10,6,4,3
95,社會,13,12,10,8,7
95,自然,12,10,8,7,5
94,國文,13,12,10,8,7
94,英文,13,11,8,5,4
94,數學,11,9,6,4,2
94,社會,13,12,11,9,8
94,自然,13,12,9,8,6
93,國文,13,12,11,9,8
93,英文,12,11,8,5,4
93,數學,11,9,6,4,3
93,社會,13,12,11,9,8
93,自然,13,12,10,8,7
92,國文,13,12,10,8,6
92,英文,12,10,7,4,3
92,數學,10,8,5,2,1
92,社會,13,13,11,9,8
92,自然,12,11,9,7,6
91,國文,13,12,10,8,7
91,英文,13,11,8,6,4
91,數學,11,9,7,4,2
91,社會,14,13,12,10,8
91,自然,12,11,9,7,6